Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782347359,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782347360,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782347361,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782347362,2,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2,0,3.4974999944097362,1024.6134999979404,3.4974999944097362,2045.729500001471,19.0
1782347363,2,,Aggregated,0.000000,0.000000,5,5,2000,2000,2000,2000,2000,2000,2000,2000,2000,6,0,4,682.8155333326625,3.183799999533221,2045.729500001471,19.0
1782347364,2,,Aggregated,0.333333,0.000000,4,4,5,2000,2000,2000,2000,2000,2000,2000,2000,9,0,4,456.2640333331526,2.821400004904717,2045.729500001471,19.0
1782347365,2,,Aggregated,0.333333,0.000000,3,4,5,5,2000,2000,2000,2000,2000,2000,2000,12,0,3,342.9383916663937,2.821400004904717,2045.729500001471,19.0
1782347366,2,,Aggregated,1.600000,0.000000,3,4,4,4,2000,2000,2000,2000,2000,2000,2000,16,0,3,258.12210625008447,2.821400004904717,2045.729500001471,19.0
1782347367,2,,Aggregated,2.000000,0.000000,3,4,4,5,2000,2000,2000,2000,2000,2000,2000,19,0,3,217.97297368443412,2.6503999979468063,2045.729500001471,19.0
1782347368,2,,Aggregated,2.000000,0.000000,4,4,4,4,5,2000,2000,2000,2000,2000,2000,24,0,3,173.3019833330521,2.6503999979468063,2045.729500001471,19.0
1782347369,2,,Aggregated,2.250000,0.000000,3,4,4,4,5,2000,2000,2000,2000,2000,2000,28,0,3,149.00184642855103,2.6503999979468063,2045.729500001471,19.0
1782347370,2,,Aggregated,2.444444,0.000000,3,4,4,4,5,2000,2000,2000,2000,2000,2000,32,0,3,130.82063124988963,2.6503999979468063,2045.729500001471,19.0
1782347371,2,,Aggregated,2.600000,0.000000,3,4,4,4,5,2000,2000,2000,2000,2000,2000,36,0,3,116.65979722218052,2.6503999979468063,2045.729500001471,19.166666666666668
1782347372,2,,Aggregated,3.100000,0.000000,3,4,4,4,5,2000,2000,2000,2000,2000,2000,40,0,3,105.27230750012677,2.503800002159551,2045.729500001471,19.15
1782347373,2,,Aggregated,3.500000,0.000000,3,4,4,4,4,5,2000,2000,2000,2000,2000,44,0,3,95.98477272745434,2.503800002159551,2045.729500001471,19.136363636363637
1782347374,2,,Aggregated,3.800000,0.000000,3,4,4,4,4,5,2000,2000,2000,2000,2000,48,0,3,88.26902500004508,2.503800002159551,2045.729500001471,19.25
1782347375,2,,Aggregated,3.900000,0.000000,3,4,4,4,5,5,2000,2000,2000,2000,2000,52,0,3,81.816292307709,2.503800002159551,2045.729500001471,19.23076923076923
1782347376,2,,Aggregated,3.800000,0.000000,3,4,4,4,5,5,2000,2000,2000,2000,2000,56,0,3,76.21717499984827,2.503800002159551,2045.729500001471,19.214285714285715
1782347377,2,,Aggregated,3.800000,0.000000,3,4,4,4,5,5,2000,2000,2000,2000,2000,59,0,3,72.55673389812789,2.503800002159551,2045.729500001471,19.203389830508474
1782347378,2,,Aggregated,4.000000,0.000000,3,4,4,4,5,5,2000,2000,2000,2000,2000,63,0,3,68.14383809505094,2.503800002159551,2045.729500001471,19.19047619047619
1782347379,2,,Aggregated,4.000000,0.000000,3,4,4,4,5,5,2000,2000,2000,2000,2000,68,0,3,63.429102940918874,2.503800002159551,2045.729500001471,19.176470588235293
1782347380,2,,Aggregated,4.000000,0.000000,3,4,4,4,5,5,2000,2000,2000,2000,2000,72,0,3,60.09554999966187,2.503800002159551,2045.729500001471,19.166666666666668
1782347381,2,,Aggregated,3.900000,0.000000,3,4,4,4,5,5,2000,2000,2000,2000,2000,75,0,3,57.8314986662978,2.503800002159551,2045.729500001471,19.16
