Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782451176,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782451177,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782451178,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782451179,4,GET,/ [checkout abuse session],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2054.6185999992304,2054.6185999992304,2054.6185999992304,2054.6185999992304,10499.0
1782451179,4,POST,/cart [add item abuse],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,4.21479999931762,4.21479999931762,4.21479999931762,4.21479999931762,0.0
1782451179,4,GET,/cart [view abuse],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,5.986599993775599,5.986599993775599,5.986599993775599,5.986599993775599,14659.0
1782451179,4,POST,/cart/checkout [abuse],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,9.96109999687178,9.96109999687178,9.96109999687178,9.96109999687178,5004.0
1782451179,4,GET,/product/[id] [checkout abuse],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,5.336399997759145,5.336399997759145,5.336399997759145,5.336399997759145,5865.0
1782451179,4,,Aggregated,0.000000,0.000000,6,10,10,2100,2100,2100,2100,2100,2100,2100,2100,5,0,6,416.0234999973909,4.21479999931762,2054.6185999992304,7205.4
1782451180,5,GET,/ [checkout abuse session],0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2,0,2038.6421000002883,2046.6303499997593,2038.6421000002883,2054.6185999992304,10499.0
1782451180,5,POST,/cart [add item abuse],0.000000,0.000000,49,49,49,49,49,49,49,49,49,49,49,2,0,4.21479999931762,26.81510000184062,4.21479999931762,49.41540000436362,0.0
1782451180,5,GET,/cart [view abuse],0.000000,0.000000,6,6,6,6,6,6,6,6,6,6,6,2,0,5.986599993775599,5.91109999731998,5.8356000008643605,5.986599993775599,14659.0
1782451180,5,POST,/cart/checkout [abuse],0.000000,0.000000,10,10,10,10,10,10,10,10,10,10,10,2,0,10,9.983749998355052,9.96109999687178,10.006399999838322,5004.0
1782451180,5,GET,/product/[id] [checkout abuse],0.000000,0.000000,5,5,5,5,5,5,5,5,5,5,5,2,0,5,5.054149998613866,4.771899999468587,5.336399997759145,5865.0
1782451180,5,,Aggregated,0.000000,0.000000,10,10,49,2000,2100,2100,2100,2100,2100,2100,2100,10,0,6,418.8788899991778,4.21479999931762,2054.6185999992304,7205.4
1782451181,5,GET,/ [checkout abuse session],0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3,0,2038.6421000002883,2045.3504333345336,2038.6421000002883,2054.6185999992304,10499.0
1782451181,5,POST,/cart [add item abuse],0.000000,0.000000,49,49,49,49,49,49,49,49,49,49,49,3,0,4,19.13016666852248,3.7603000018862076,49.41540000436362,0.0
1782451181,5,GET,/cart [view abuse],0.000000,0.000000,6,6,6,6,6,6,6,6,6,6,6,3,0,5.986599993775599,5.893066666127804,5.8356000008643605,5.986599993775599,14659.0
1782451181,5,POST,/cart/checkout [abuse],0.000000,0.000000,10,10,10,10,10,10,10,10,10,10,10,3,0,10,9.84513333241921,9.567900000547525,10.006399999838322,5004.0
1782451181,5,GET,/product/[id] [checkout abuse],0.000000,0.000000,5,5,5,5,5,5,5,5,5,5,5,3,0,5,4.962866665058148,4.771899999468587,5.336399997759145,5865.0
1782451181,5,,Aggregated,0.000000,0.000000,6,10,49,2000,2000,2100,2100,2100,2100,2100,2100,15,0,6,417.03633333333227,3.7603000018862076,2054.6185999992304,7205.4
1782451182,5,GET,/ [checkout abuse session],0.500000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4,0,2038.6421000002883,2044.7966750016349,2038.6421000002883,2054.6185999992304,10499.0
1782451182,5,POST,/cart [add item abuse],0.500000,0.000000,48,48,49,49,49,49,49,49,49,49,49,5,0,4,21.894659999816213,3.7291999979061075,49.41540000436362,0.0
1782451182,5,GET,/cart [view abuse],0.500000,0.000000,6,6,7,7,7,7,7,7,7,7,7,5,0,6,5.947579997882713,5.4313999935402535,6.627299997489899,14659.0
1782451182,5,POST,/cart/checkout [abuse],0.500000,0.000000,10,10,10,10,10,10,10,10,10,10,10,5,0,10,9.661000000778586,9.064400001079775,10.006399999838322,5004.0
1782451182,5,GET,/product/[id] [checkout abuse],0.500000,0.000000,5,5,7,7,7,7,7,7,7,7,7,5,0,5,5.471979998401366,4.771899999468587,7.466800001566298,5865.0
1782451182,5,,Aggregated,2.500000,0.000000,7,10,48,49,2000,2000,2100,2100,2100,2100,2100,24,0,7,349.75261666628893,3.7291999979061075,2054.6185999992304,7068.166666666667
1782451183,5,GET,/ [checkout abuse session],0.500000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,5,0,2038.6421000002883,2047.6698200014653,2038.6421000002883,2059.162400000787,10499.0
1782451183,5,POST,/cart [add item abuse],0.500000,0.000000,4,48,48,49,49,49,49,49,49,49,49,6,0,4,18.80629999989954,3.364500000316184,49.41540000436362,0.0
